timestamp,latency_ms
1747578224858,43530
1747578224909,42670
1747578224960,42620
1747578225011,42568
1747578225062,43326
1747578225113,42467
1747578225164,1
1747578225215,7
1747578225266,1
1747578225317,2
1747578225368,1
1747578225419,1
1747578225470,2
1747578225520,42060
1747578225571,42812
1747578225622,43566
1747578225673,43514
1747578225724,42664
1747578225775,43418
1747578225826,42557
1747578225877,42506
1747578225928,42461
1747578225979,42403
1747578226030,2
1747578226082,1
1747578226132,43055
1747578226183,2
1747578226234,1
1747578226284,42904
1747578226335,43457
1747578226386,42801
1747578226437,42770
1747578226488,43304
1747578226539,43253
1747578226590,42598
1747578226641,42554
1747578226692,42496
1747578226743,2
1747578226794,2
1747578226845,2
1747578226896,1
1747578226947,1
1747578226998,1
1747578227049,42743
1747578227100,2
1747578227151,42647
1747578227202,43572
1747578227253,43521
1747578227304,43470
1747578227355,42442
1747578227406,42391
1747578227457,43320
1747578227508,42286
1747578227559,42233
1747578227610,1
1747578227661,2
1747578227712,1
1747578227763,1
1747578227814,42963
1747578227865,2
1747578227916,41881
1747578227967,43757
1747578228018,42757
1747578228069,43655
1747578228120,42655
1747578228171,42606
1747578228222,43502
1747578228273,43451
1747578228324,42450
1747578228375,3
1747578228426,1
1747578228477,1
1747578228528,3
1747578228579,1
1747578228629,42145
1747578228680,43044
1747578228731,43777
1747578228781,43730
1747578228832,42892
1747578228883,43628
1747578228934,43573
1747578228985,42739
1747578229036,43476
1747578229087,42637
1747578229138,2
1747578229189,3
1747578229240,2
1747578229291,1
1747578229342,42382
1747578229393,42331
1747578229444,2
1747578229496,43015
1747578229549,42963
1747578229599,43829
1747578229650,43782
1747578229701,43727
